Patente|Pedimento|SeccionAduanera|ClaveCaso|IdentificadorCaso|TipoPedimento|ComplementoCaso|FechaValidacionPagoR
1925|6700202|160|ED|0428260HFWA05|1||2026-04-23 20:27:02|
1647|6008911|240|RC|1-2|1||2026-04-30 18:35:03|
3471|6401053|160|ED|0436260OA12D4|1||2026-04-29 12:32:05|
1925|6700202|160|ED|01762600A5SR6|1||2026-04-23 20:27:02|
1614|6002174|160|SO|AA|1||2026-04-20 16:19:02|
1614|6002306|160|SO|AA|1||2026-04-20 14:08:04|
1614|6003567|160|CR|40|2||2026-04-23 11:04:03|
1614|6002310|160|ED|0170261ALJ677|1||2026-04-20 14:09:02|
1647|6008805|240|ED|0428260HCQDS1|1||2026-04-17 20:02:04|
1925|6700262|160|ED|0428260HFWAC7|1||2026-04-29 14:06:02|
3043|6001077|523|ED|0433260DW1BQ3|1||2026-04-28 16:27:01|
3577|6300621|521|ED|MNVA26006WHZ4|1||2026-04-22 17:02:01|
1925|6000480|160|ED|01922618N9754|1||2026-04-24 17:08:02|
3471|6401080|160|ED|0436260OAD972|1||2026-04-29 11:55:03|
3471|6400946|160|ED|0436260O5HLU1|1||2026-04-17 14:11:01|
1925|6700215|160|ED|0428260HGGJX3|1||2026-04-23 14:49:02|
3471|6401098|160|IM|482023|1||2026-04-29 18:53:01|
3471|6400940|160|ED|0436260O5EPN6|1||2026-04-17 12:39:03|
3471|6401096|160|ED|0436260OA1T78|1||2026-04-29 18:13:02|
1925|6700202|160|PP|20239540|1||2026-04-23 20:27:02|
1614|6003560|160|SO|AA|2||2026-04-22 20:46:01|
1925|6700254|160|ED|MNVA26007K0Z5|1||2026-04-29 17:20:04|
1925|6700246|160|ED|0428260HHNRG6|1||2026-04-28 20:00:02|
3897|6603510|240|ED|0438261ECTCZ1|1||2026-04-20 16:11:07|
3043|6001074|523|ED|0170261AW7ZI6|1||2026-04-28 16:27:02|
3043|6001115|523|CR|45|1||2026-04-30 11:13:02|
1925|6700259|160|ED|0170261AVZ9F3|1||2026-04-29 12:49:03|
3471|6401056|160|ED|0170261ATWT24|1||2026-04-29 13:10:02|
3043|6700019|523|AT||1||2026-04-29 13:16:01|
1925|6700246|160|ED|0428260HHNNA5|1||2026-04-28 20:00:02|
3471|6401102|160|ED|0438261EM9PC1|1||2026-04-29 18:54:01|
1614|6001820|160|ED|01702619XLOC2|1||2026-04-07 12:20:07|
1925|6700204|160|ED|01762600A5SR6|1||2026-04-24 10:16:02|
3471|6401096|160|ED|0436260OA1F83|1||2026-04-29 18:13:02|
3471|6400940|160|ED|0436260O5EEI2|1||2026-04-17 12:39:03|
1925|6100311|160|PP|20239540|1||2026-04-17 14:09:05|
1614|6003572|160|SO|AA|2||2026-04-22 20:06:03|
3471|6401102|160|ED|0436260OA0D93|1||2026-04-29 18:54:01|
1614|6002236|160|ED|0438261ECCF67|1||2026-04-20 16:43:03|
1925|6000474|160|ED|0436250N3ME75|1||2026-04-24 17:09:03|
3471|6401098|160|ED|0436260OA59E8|1||2026-04-29 18:53:01|
1925|6000480|160|ED|0436250MZ8X26|1||2026-04-24 17:08:02|
1647|6009429|240|ED|0170261APR3F5|1||2026-04-20 19:13:03|
1925|6700245|160|ED|0170261AVTGB8|1||2026-04-28 16:25:06|
1925|6000474|160|ED|01762600A5RL3|1||2026-04-24 17:09:03|
3471|6401020|160|ED|MNVA26006WFL3|1||2026-04-23 11:32:02|
1614|6003554|160|SO|AA|2||2026-04-22 20:06:05|
3043|6700014|523|ST|22|1||2026-04-17 12:11:02|
3471|6401100|160|ED|0436260O9VL65|1||2026-04-29 18:53:02|
3471|6401096|160|ED|0436260OA15E8|1||2026-04-29 18:13:02|
3471|6401096|160|ED|0436260OA1OU7|1||2026-04-29 18:13:02|
3577|6300773|521|ED|0170261AW34P2|1||2026-04-28 14:17:01|
3577|6300623|521|ED|04412602S5SR2|1||2026-04-02 14:19:01|
3471|6400987|160|ED|0438261EI6U45|1||2026-04-22 19:32:01|
1925|6700255|160|ED|01922618QSR58|1||2026-04-29 12:49:03|
1925|6000474|160|ED|0436250N783I6|1||2026-04-24 17:09:03|
1925|6700256|160|ED|0170261AVXP85|1||2026-04-29 13:55:03|
3496|6000481|850|ED|0170261AW1086|1||2026-04-27 12:03:03|
1925|6700260|160|ED|0438261EMUZL8|1||2026-04-29 13:55:04|
3471|6401021|160|ED|0436260O8BAK4|1||2026-04-23 11:58:04|
1925|6000474|160|ED|MNVA260071NK8|1||2026-04-24 17:09:03|
