Patente|Pedimento|SeccionAduanera|RfcTransportista|CurpTransportista|NombreTransportista|PaisTransporte|IdentificadorTransporte|FechaPagoReal
3043|6001075|523|||KANSAS CITY SOUTHERN DE MEXICO|MEX|SNLU220420|2026-04-28 16:27:01|
3471|6400992|160|||EVERGREEN LINE|GBR|EVERLISSOME|2026-04-22 22:33:02|
3471|6401051|160|||EVERGREEN LINE|TWN|EVERLOYAL|2026-04-29 12:32:03|
1614|6002334|160|||COSCO PACIFIC|CHN|098E|2026-04-25 13:02:01|
1925|6000474|160|||EVER LISSOME|GBR|EVERLISSOME|2026-04-24 17:09:03|
1614|6003565|160|||EVER LISSOME|GBR|0776-073E|2026-04-23 09:18:03|
1925|6100269|160|||EVER FAME|PAN|EVERFAME|2026-04-16 15:12:02|
1614|6002239|160|||ZIM MOUNT DENALI|SGP|13E|2026-04-21 10:02:05|
1925|6100271|160|||EVER FAME|PAN|EVERFAME|2026-04-16 15:52:01|
1614|6003568|160|||EVER LISSOME|GBR|073E|2026-04-23 08:47:01|
1614|6002320|160|||WAN HAI A02|SGP|E016|2026-04-23 16:49:03|
1614|6002215|160|||EVER FASHION|LBR|0775-026E|2026-04-16 19:40:02|
3471|6400903|160|||PACIFIC INTERNATIONAL LINES|PAN|EVERFAME|2026-04-15 10:56:01|
3043|6700017|523|||KANSAS CITY SOUTHERN|USA|1|2026-04-18 12:09:01|
3471|6400986|160|||EVERGREEN LINE|GBR|EVERLISSOME|2026-04-22 21:37:01|
3471|6400993|160|||EVERGREEN LINE|GBR|EVERLISSOME|2026-04-22 19:32:02|
1925|6100276|160|||EVER FAME|PAN|EVERFAME|2026-04-15 20:55:02|
3471|6401012|160|||EVERGREEN LINE|GBR|EVERLISSOME|2026-04-22 19:32:04|
1614|6002115|160|||XIN OU ZHOU|CHN|077E|2026-04-14 12:19:04|
1925|6100254|160|||TIANJIN|LBR|TIANJIN|2026-04-08 16:21:03|
3471|6401102|160|||EVERGREEN LINE|TWN|EVERLOYAL|2026-04-29 18:54:01|
1759|6000774|160|||PACIFIC INTERNATIONAL LINES (PTE) LTD|LBR|KOTASANTOS|2026-04-10 16:39:01|
3043|6700018|523|||KANSAS CITY SOUTHERN|USA|1|2026-04-28 20:01:00|
3471|6400998|160|||EVERGREEN LINE|LBR|EVERFASHION|2026-04-17 15:35:03|
1759|6000613|160|||PACIFIC INTERNATIONAL LINES (PTE) LTD|LBR|KOTASANTOS|2026-04-10 16:30:07|
3471|6401106|160|||EVERGREEN LINE|TWN|EVERLOYAL|2026-04-29 19:45:01|
3471|6401060|160|||EVERGREEN LINE|TWN|EVERLOYAL|2026-04-29 17:30:04|
1614|6002192|160|||EVER FASHION|LBR|026E|2026-04-16 19:40:01|
1614|6002209|160|||EVER FASHION|LBR|0775-026E|2026-04-16 18:48:02|
3471|6400852|160|||WAN HAI LINES LTD|GBR|EVERLIBERAL|2026-04-08 20:47:01|
3471|6400799|160|||EVERGREEN LINE|GBR|EVERLIBERAL|2026-04-02 00:48:01|
1614|6002173|160|||EVER FASHION|GBR|026E|2026-04-20 14:21:07|
3471|6401014|160|||EVERGREEN LINE|GBR|EVERLISSOME|2026-04-22 19:32:05|
3043|6700010|520|||FERROMEX|USA|1|2026-04-06 12:50:02|
1614|6003573|160|||EVER LISSOME|GBR|073E|2026-04-23 09:10:02|
3471|6400752|160|||ZIM MEXICO INTEGRATED SHIPPING SERVICES|LBR|TIANJIN|2026-04-01 16:33:04|
3471|6401065|160|||EVERGREEN LINE|GBR|EVERLISSOME|2026-04-22 19:31:01|
3471|6400894|160|||PACIFIC INTERNATIONAL LINES|PAN|EVERFAME|2026-04-14 23:52:01|
1925|6700206|160|||ZIM MOUNT DENALI|SGP|ZIMMOUNTDENALI|2026-04-23 20:27:03|
3471|6400809|160|||EVERGREEN LINE|GBR|EVERLIBERAL|2026-04-02 10:16:01|
1614|6003559|160|||EVER LISSOME|GBR|0776-073E|2026-04-23 10:28:02|
1925|6100251|160|||TIANJIN|LBR|TIANJIN|2026-04-08 16:48:05|
3897|6603220|240|KCS970506DQ3||KANSAS CITY SOUTHERN DE MEXICO S.A. DE C.V.|MEX|SNLU992790|2026-04-08 09:51:08|
1614|6002240|160|||ZIM MOUNT DENALI|SGP|13E|2026-04-20 16:43:04|
1614|6002241|160|||ZIM MOUNT DENALI|SGP|13E|2026-04-21 10:02:03|
1614|6002190|160|||EVER FASHION|LBR|026E|2026-04-16 19:40:02|
1614|6001961|160|||XIN HONG KONG|HKG|081E|2026-04-06 10:12:02|
1925|6700245|160|||ZIM MOUNT FUJI|HKG|ZIMMOUNTFUJI|2026-04-28 16:25:06|
3043|6000965|523|||KANSAS CITY SOUTHERN DE MEXICO|MEX|SNLU987097|2026-04-15 08:59:01|
1614|6002055|160|||EVER FAME|PAN|0672-028E|2026-04-14 14:55:04|
3471|6400969|160|||COSCO SHIPPING LINES MEXICO S DE RL DE CV|CHN|CSCLASIA|2026-04-17 19:48:03|
1614|6002326|160|||WAN HAI A02|SGP|E016|2026-04-23 16:49:02|
