Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|FormaPago|ImportePago|FechaPagoReal
3471|6400996|160|98020019|12|3|22|18|2026-04-22 23:30:02|
1925|6700254|160|87089904|37|3|22|4762|2026-04-29 17:20:04|
1614|6003567|160|85371006|74|3|22|6274|2026-04-23 11:04:03|
1614|6002170|160|98020019|81|3|22|134|2026-04-20 16:19:01|
3471|6401097|160|73269099|2|3|0|813|2026-04-29 18:13:02|
1614|6002334|160|73269099|1|3|0|468|2026-04-25 13:02:01|
1759|6000777|160|83082001|14|3|0|22|2026-04-10 16:39:03|
1925|6700254|160|87082999|64|3|22|542|2026-04-29 17:20:04|
1925|6700254|160|98020019|124|3|22|17|2026-04-29 17:20:04|
1614|6001817|160|87082201|66|3|0|1461|2026-04-07 12:20:08|
1614|6002339|160|87088005|169|3|22|735|2026-04-27 09:16:02|
3471|6401053|160|87082999|55|3|22|3299|2026-04-29 12:32:05|
1925|6000476|160|87089999|18|3|22|119|2026-04-24 17:09:04|
1614|6003567|160|73181504|102|3|22|5|2026-04-23 11:04:03|
1925|6700253|160|73269099|1|6|0|313|2026-04-29 12:49:02|
1614|6002297|160|98020019|232|3|22|71|2026-04-20 16:04:02|
1614|6002297|160|98020019|46|3|22|85|2026-04-20 16:04:02|
1614|6002339|160|87089999|165|3|22|823|2026-04-27 09:16:02|
1614|6002329|160|84833004|31|3|22|109|2026-04-23 18:49:03|
1614|6002297|160|98020019|209|3|22|196|2026-04-20 16:04:02|
3471|6401056|160|56090002|8|3|0|8619|2026-04-29 13:10:02|
1925|6700244|160|87089999|51|3|22|2005|2026-04-28 20:00:01|
1614|6002012|160|87082901|27|3|0|513|2026-04-08 09:16:04|
1925|6700250|160|87082999|58|3|22|5360|2026-04-28 20:01:01|
3471|6401106|160|87082999|18|3|22|215|2026-04-29 19:45:01|
1614|6001962|160|87082999|56|3|0|1481|2026-04-06 10:12:02|
1614|6002339|160|87088005|69|3|22|441|2026-04-27 09:16:02|
1925|6700252|160|87089999|30|3|22|345|2026-04-28 18:17:02|
1614|6002305|160|98020019|88|3|22|874|2026-04-20 16:05:03|
1614|6002321|160|98020019|72|3|22|25|2026-04-23 17:51:04|
3471|6401055|160|87082999|15|3|22|188|2026-04-29 13:11:05|
3471|6400994|160|98020019|214|3|22|71|2026-04-22 23:30:01|
1614|6002235|160|87082999|19|3|22|1549|2026-04-21 10:01:03|
3471|6401059|160|87082999|26|3|22|334|2026-04-29 12:33:03|
1614|6002321|160|87089999|36|3|22|139|2026-04-23 17:51:04|
1925|6000474|160|87088005|37|3|22|194|2026-04-24 17:09:03|
1925|6700252|160|87089999|58|3|22|662|2026-04-28 18:17:02|
3471|6401059|160|87089999|58|3|22|1344|2026-04-29 12:33:03|
3471|6400789|160|98020019|148|3|0|24|2026-04-01 11:54:01|
3471|6401103|160|73269099|7|3|0|12|2026-04-30 09:31:01|
3471|6401098|160|85371099|100|3|22|6078|2026-04-29 18:53:01|
1759|6000777|160|87082999|34|3|0|25|2026-04-10 16:39:03|
1925|6700244|160|87089412|23|3|22|398|2026-04-28 20:00:01|
1925|6700294|160|87088099|66|3|22|2044|2026-04-29 10:50:04|
1614|6002297|160|98020019|262|3|22|22|2026-04-20 16:04:02|
1614|6002170|160|87082201|59|3|22|9437|2026-04-20 16:19:01|
3471|6401080|160|98020019|225|3|22|1570|2026-04-29 11:55:03|
3577|6300793|521|76090002|8|3|0|1402|2026-04-23 12:32:01|
3471|6401066|160|82075007|24|3|0|92|2026-04-22 19:31:01|
3471|6401080|160|85365099|109|3|22|588|2026-04-29 11:55:03|
1925|6700208|160|39263002|24|3|22|409|2026-04-23 20:27:02|
1614|6002297|160|98020019|222|3|22|838|2026-04-20 16:04:02|
3471|6401096|160|98020019|131|3|22|3805|2026-04-29 18:13:02|
3471|6401100|160|98020019|133|3|22|3|2026-04-29 18:53:02|
3471|6400808|160|98020019|91|3|0|152|2026-04-02 00:48:03|
1925|6700262|160|85365099|134|3|22|1187|2026-04-29 14:06:02|
3471|6401096|160|87088099|20|3|22|6921|2026-04-29 18:13:02|
3471|6400751|160|73269099|11|6|0|13|2026-04-01 16:32:03|
3471|6401056|160|73269099|6|6|0|160|2026-04-29 13:10:02|
3471|6401061|160|87089999|13|3|22|3400|2026-04-29 17:30:05|
1614|6002297|160|98020019|214|3|22|187|2026-04-20 16:04:02|
1614|6003567|160|98020019|181|3|22|18|2026-04-23 11:04:03|
3471|6401061|160|87082999|8|3|22|430|2026-04-29 17:30:05|
1925|6000476|160|87089412|64|3|22|1646|2026-04-24 17:09:04|
1614|6002174|160|87089412|29|3|22|537|2026-04-20 16:19:02|
1614|6002337|160|98020019|96|3|22|269|2026-04-27 09:15:03|
1614|6003567|160|85371099|109|3|22|19772|2026-04-23 11:04:03|
1614|6002297|160|87089904|100|3|22|4728|2026-04-20 16:04:02|
3471|6401061|160|87082999|49|3|22|252|2026-04-29 17:30:05|
3471|6401102|160|87082999|204|3|22|349|2026-04-29 18:54:01|
1759|6000777|160|98020019|214|3|0|5|2026-04-10 16:39:03|
1925|6700250|160|98020019|66|3|22|175|2026-04-28 20:01:01|
1925|6700250|160|87082999|57|3|22|3538|2026-04-28 20:01:01|
1614|6001956|160|87089999|41|3|0|797|2026-04-06 10:11:02|
1925|6700245|160|73269099|9|6|0|10|2026-04-28 16:25:06|
3471|6401090|160|87082999|83|3|22|296|2026-04-29 10:20:05|
1614|6002297|160|98020019|60|3|22|36|2026-04-20 16:04:02|
