Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
3471|6401055|160|2026-04-02|COVE2682CKY84|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 13:11:05|
1925|6700242|160|2026-03-31|COVE2682DBP46|CIF|USD|86909.23|86909.23|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2026-04-28 18:17:04|
3471|6400904|160|2026-03-05|COVE26816VHE6|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-04 13:29:01|
1614|6002335|160||COVE268277AY2|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-27 09:15:02|
1614|6002332|160||COVE268277BE7|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-27 08:43:05|
3471|6400967|160|2026-03-23|COVE2681M0MN7|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-17 19:49:03|
3471|6401102|160|2026-03-29|COVE26826I5M8|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 18:54:01|
1925|6700252|160|2026-03-31|COVE2682E9UQ8|CIF|USD|65829.74|65829.74|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2026-04-28 18:17:02|
3471|6401088|160|2026-04-06|COVE26823HNZ8|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 10:20:05|
3471|6401081|160|2026-04-06|COVE26823DDE5|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 10:20:04|
1925|6100305|160|2026-03-18|COVE26815MQ85|CIF|USD|77049.52|77049.52|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2026-04-17 13:12:02|
