Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SecuenciaObservacion|Observaciones|FechaPagoReal
1592|3002076|160|39269099|11|1|5HY#-042031-1000|2023-03-23 12:03:00|
1592|3002076|160|39269099|12|1|6KM#-160420-8001|2023-03-23 12:03:00|
1592|3002076|160|39269099|13|1|8080-000001|2023-03-23 12:03:00|
1592|3002076|160|39269099|14|1|9060-038129|2023-03-23 12:03:00|
1592|3002076|160|39269099|15|1|CFCV-CBC005-2000-M1|2023-03-23 12:03:00|
1592|3002076|160|39269099|16|1|5HY0-043012|2023-03-23 12:03:00|
1592|3002076|160|39269099|17|1|7030-200101|2023-03-23 12:03:00|
1592|3002076|160|39269099|18|1|9060-105002|2023-03-23 12:03:00|
1592|3002076|160|39269099|19|1|9AWA-080001|2023-03-23 12:03:00|
1592|3002076|160|40091102|20|1|0JYA-110001-10000|2023-03-23 12:03:00|
1592|3002076|160|40091102|21|1|703V-200102-1400|2023-03-23 12:03:00|
1592|3002076|160|40091102|22|1|8080-120005|2023-03-23 12:03:00|
1592|3002076|160|40091102|23|1|9010-310001|2023-03-23 12:03:00|
1592|3002076|160|40169101|24|1|5HYV-040003-1000|2023-03-23 12:03:00|
1592|3002076|160|40169304|25|1|5190-020102, 9AW#-120002-2500|2023-03-23 12:03:00|
1592|3002076|160|40169304|26|1|5HY0-043074-00001|2023-03-23 12:03:00|
1592|3002076|160|40169304|27|1|5SYV-260216-6000|2023-03-23 12:03:00|
1592|3002076|160|40169304|28|1|9AWA-120001-00001|2023-03-23 12:03:00|
1592|3002076|160|40169901|29|1|5020-031001|2023-03-23 12:03:00|
1592|3002076|160|40169901|30|1|5HY#-130002-1000, 6KMV-150901-B001|2023-03-23 12:03:00|
1592|3002076|160|40169901|32|1|7020-040315|2023-03-23 12:03:00|
1592|3002076|160|40169901|33|1|9010-030005|2023-03-23 12:03:00|
1592|3002076|160|40169999|34|1|7020-120103|2023-03-23 12:03:00|
1592|3002076|160|40169999|35|1|5HY0-002002|2023-03-23 12:03:00|
1592|3002076|160|40169999|36|1|5HY0-002004, 5HY0-002102|2023-03-23 12:03:00|
1592|3002076|160|40169999|37|1|5HY0-220004|2023-03-23 12:03:00|
1592|3002076|160|40169999|38|1|7030-221710, 7030-222253|2023-03-23 12:03:00|
1592|3002076|160|40169999|39|1|9060-180026|2023-03-23 12:03:00|
1592|3002076|160|40169999|40|1|9060-180903|2023-03-23 12:03:00|
1592|3002076|160|40169999|41|1|9AWA-080003|2023-03-23 12:03:00|
1592|3002076|160|48239099|42|1|TFQ004|2023-03-23 12:03:00|
1592|3002076|160|49011001|43|1|5SYV-380101-6301-13|2023-03-23 12:03:00|
1592|3002076|160|68151101|44|1|9AWA-021004-00002|2023-03-23 12:03:00|
1592|3002076|160|70091099|45|1|5HYV-190013-1D00|2023-03-23 12:03:00|
1592|3002076|160|70091099|46|1|5HY0-260110-10000|2023-03-23 12:03:00|
1592|3002076|160|73181504|47|1|5HY0-261001|2023-03-23 12:03:00|
1592|3002076|160|73181599|48|1|0010-022020-00002, 30006-060012870|2023-03-23 12:03:00|
1592|3002076|160|73181599|49|1|0020-011018-00001, 30024-122100110|2023-03-23 12:03:00|
1592|3002076|160|73181599|50|1|30006-060016870, 30006-060020870, 5BWV-040007-5000, 5HY#-040001-1000, 5HY#-040002-1000, 6NQ#-000202-6001, 6NQ#-000203-60|2023-03-23 12:03:00|
1592|3002076|160|73181599|50|2|01, A010-120003|2023-03-23 12:03:00|
1592|3002076|160|73181599|51|1|30006-102055110|2023-03-23 12:03:00|
1592|3002076|160|73181599|52|1|30006-102060110, 7030-000401, 9AWA-021002-10000|2023-03-23 12:03:00|
1592|3002076|160|73181599|53|1|5HY0-220113|2023-03-23 12:03:00|
1592|3002076|160|73181599|54|1|7030-220104|2023-03-23 12:03:00|
1592|3002076|160|73181599|55|1|7020-120160|2023-03-23 12:03:00|
1592|3002076|160|73181599|56|1|A000-080001|2023-03-23 12:03:00|
1592|3002076|160|73181606|57|1|5HY0-070203|2023-03-23 12:03:00|
1592|3002076|160|73181606|58|1|7030-151613|2023-03-23 12:03:00|
1592|3002076|160|73181606|59|1|5HY0-110001|2023-03-23 12:03:00|
1592|3002076|160|73182102|60|1|30301-060470|2023-03-23 12:03:00|
1592|3002076|160|73182102|61|1|9010-080104|2023-03-23 12:03:00|
1592|3002076|160|73182291|62|1|30301-080412, 30309-060870|2023-03-23 12:03:00|
1592|3002076|160|73182291|63|1|7030-151614|2023-03-23 12:03:00|
1592|3002076|160|73182403|64|1|30903-0403610|2023-03-23 12:03:00|
1592|3002076|160|73182403|65|1|5HY#-221601-1000, 5HY0-223035, 7030-010508, 7030-222251, 9030-220011-00001|2023-03-23 12:03:00|
1592|3002076|160|73202005|66|1|5HY0-043015|2023-03-23 12:03:00|
1592|3002076|160|73202005|67|1|9060-080003|2023-03-23 12:03:00|
1592|3002076|160|73202005|68|1|9AWA-021001|2023-03-23 12:03:00|
1592|3002076|160|73261999|69|1|5HY0-220003, 5HY0-220006, 5HY0-220007|2023-03-23 12:03:00|
1592|3002076|160|73261999|70|1|7000-180007-00001, 9030-180006|2023-03-23 12:03:00|
1592|3002076|160|73262006|71|1|9CR6-020003|2023-03-23 12:03:00|
1592|3002076|160|73269099|72|1|0180-014010, 9CR6-300204, 9GQ0-290104|2023-03-23 12:03:00|
1592|3002076|160|73269099|73|1|30604-301300|2023-03-23 12:03:00|
1592|3002076|160|73269099|74|1|9010-020007|2023-03-23 12:03:00|
1592|3002076|160|73269099|75|1|9030-000109|2023-03-23 12:03:00|
1592|3002076|160|73269099|76|1|5HYV-080410-1C00, 8080-000002|2023-03-23 12:03:00|
1592|3002076|160|73269099|77|1|7020-140002|2023-03-23 12:03:00|
