Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|TasaContribucion|TipoTasa|FechaPagoReal
1592|3002047|160|85072099|64|6|15.00000|1|2023-03-06 17:03:02|
1592|3002047|160|85129007|65|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|85365099|66|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|85365099|67|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|85365099|68|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|85369099|69|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|85389001|70|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|85443099|71|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|85443099|71|6|5.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87082902|72|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87082923|73|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87082923|74|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87082923|75|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87082999|76|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87082999|76|6|5.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87082999|77|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87082999|77|6|5.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87082999|78|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87082999|78|6|5.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87082999|79|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87082999|79|6|5.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87083099|80|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87088005|81|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87088005|82|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87088005|83|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87088099|84|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87088099|84|6|5.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87089203|85|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87089203|86|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87089412|87|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87089999|88|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87089999|89|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|87089999|90|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|90262003|91|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|90262003|91|6|15.00000|1|2023-03-06 17:03:02|
1592|3002047|160|94012001|92|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|94019999|93|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|94019999|94|3|16.00000|1|2023-03-06 17:03:02|
1592|3002049|160|87032199|1|3|16.00000|1|2023-03-06 17:03:02|
1592|3002049|160|87032199|1|6|20.00000|1|2023-03-06 17:03:02|
1592|3002049|160|87032199|2|3|16.00000|1|2023-03-06 17:03:02|
1592|3002049|160|87032199|2|6|20.00000|1|2023-03-06 17:03:02|
1592|3002049|160|87032199|3|3|16.00000|1|2023-03-06 17:03:02|
1592|3002049|160|87032199|3|6|20.00000|1|2023-03-06 17:03:02|
1592|3002049|160|87032199|4|3|16.00000|1|2023-03-06 17:03:02|
1592|3002049|160|87032199|4|6|20.00000|1|2023-03-06 17:03:02|
1592|3002049|160|87032199|5|3|16.00000|1|2023-03-06 17:03:02|
1592|3002049|160|87032199|5|6|20.00000|1|2023-03-06 17:03:02|
1592|3002049|160|87032199|6|3|16.00000|1|2023-03-06 17:03:02|
1592|3002049|160|87032199|6|6|20.00000|1|2023-03-06 17:03:02|
1592|3002049|160|87032199|7|3|16.00000|1|2023-03-06 17:03:02|
1592|3002049|160|87032199|7|6|20.00000|1|2023-03-06 17:03:02|
1592|3002049|160|87032199|8|3|16.00000|1|2023-03-06 17:03:02|
1592|3002049|160|87032199|8|6|20.00000|1|2023-03-06 17:03:02|
1592|3002061|160|73269099|1|3|16.00000|1|2023-03-06 17:03:03|
1592|3002076|160|39172991|1|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39199099|2|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39199099|3|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39199099|4|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39235001|5|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39235001|5|6|15.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39235001|6|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39235001|6|6|15.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39263002|7|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39263002|7|6|15.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39263002|8|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39263002|8|6|15.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39269020|9|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39269020|9|6|15.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39269099|10|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39269099|11|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39269099|12|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39269099|13|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39269099|14|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39269099|15|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39269099|16|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39269099|17|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39269099|18|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|39269099|19|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40091102|20|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40091102|21|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40091102|22|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40091102|23|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40169101|24|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40169101|24|6|10.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40169304|25|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40169304|26|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40169304|27|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40169304|28|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40169901|29|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40169901|29|6|5.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40169901|30|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40169901|30|6|5.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40169901|32|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40169901|32|6|5.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40169901|33|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40169901|33|6|5.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40169999|34|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40169999|35|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40169999|36|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40169999|37|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40169999|38|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40169999|39|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40169999|40|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|40169999|41|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|48239099|42|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|48239099|42|6|5.00000|1|2023-03-23 12:03:00|
1592|3002076|160|68151101|44|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|68151101|44|6|5.00000|1|2023-03-23 12:03:00|
1592|3002076|160|70091099|45|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|70091099|45|6|15.00000|1|2023-03-23 12:03:00|
1592|3002076|160|70091099|46|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|70091099|46|6|15.00000|1|2023-03-23 12:03:00|
1592|3002076|160|73181504|47|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|73181504|47|6|5.00000|1|2023-03-23 12:03:00|
1592|3002076|160|73181599|48|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|73181599|49|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|73181599|50|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|73181599|51|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|73181599|52|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|73181599|53|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|73181599|54|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|73181599|55|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|73181599|56|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|73181606|57|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|73181606|58|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|73181606|59|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|73182102|60|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|73182102|61|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|73182291|62|3|16.00000|1|2023-03-23 12:03:00|
1592|3002076|160|73182291|63|3|16.00000|1|2023-03-23 12:03:00|
