Patente|Pedimento|SeccionAduanera|TipoFecha|FechaOperacion|FechaValidacionPagoR
3043|5603321|523|5|2025-10-27|2025-11-10 18:13:01|
3471|5600798|160|1|2025-11-11|2025-11-14 16:30:06|
3471|5600895|160|1|2025-11-11|2025-11-15 11:53:02|
3471|5600795|160|1|2025-11-11|2025-11-14 15:49:02|
1925|5700225|160|1|2025-11-11|2025-11-12 18:30:04|
3577|5102391|521|1|2025-11-08|2025-11-13 19:28:01|
1925|5700296|160|1|2025-11-25|2025-11-26 18:05:02|
3471|5600871|160|1|2025-11-25|2025-11-27 18:38:03|
1925|5700271|160|1|2025-11-17|2025-11-19 09:42:02|
1925|5700277|160|1|2025-11-17|2025-11-19 09:58:01|
3577|5102460|521|2|2025-11-26|2025-11-26 14:06:01|
1925|5100881|160|1|2025-10-28|2025-11-01 08:54:00|
3471|5600799|160|2|2025-11-14|2025-11-14 15:49:03|
3897|5611766|240|1|2025-11-19|2025-11-19 12:10:21|
1925|5001423|160|2|2025-11-19|2025-11-19 12:01:02|
3577|5102456|521|1|2025-11-24|2025-11-27 13:51:00|
3043|5603392|523|2|2025-11-18|2025-11-18 18:43:01|
1925|5700225|160|2|2025-11-12|2025-11-12 18:30:04|
3471|5600733|160|2|2025-11-20|2025-11-20 21:45:02|
1925|5700340|160|1|2025-11-17|2025-11-22 10:52:02|
1925|5700213|160|1|2025-11-11|2025-11-12 18:15:00|
3471|5600790|160|2|2025-11-19|2025-11-19 18:29:02|
3471|5600943|160|2|2025-11-27|2025-11-27 18:24:03|
3043|5003623|523|1|2025-11-21|2025-11-26 14:38:01|
3577|5102401|521|1|2025-11-13|2025-11-18 13:32:00|
3043|5003652|523|2|2025-11-28|2025-11-28 16:50:02|
3471|5600866|160|1|2025-11-11|2025-11-14 16:09:02|
1925|5700336|160|1|2025-11-17|2025-11-21 12:23:00|
1925|5700298|160|1|2025-11-25|2025-11-27 10:17:00|
1925|5700296|160|2|2025-11-26|2025-11-26 18:05:02|
1925|5001388|160|2|2025-11-13|2025-11-13 13:04:02|
3471|5600770|160|1|2025-11-17|2025-11-19 18:29:05|
3471|5600860|160|1|2025-11-11|2025-11-14 16:30:07|
1647|5017166|240|5|2025-11-17|2025-11-27 16:22:03|
1925|5700301|160|2|2025-11-28|2025-11-28 10:52:03|
1925|5001421|160|1|2025-11-17|2025-11-19 12:01:02|
3471|5600735|160|1|2025-11-17|2025-11-20 16:20:03|
1925|5700234|160|1|2025-11-11|2025-11-13 10:44:02|
1925|5700312|160|1|2025-11-25|2025-11-28 11:37:01|
3577|5102363|521|2|2025-11-07|2025-11-07 15:33:01|
3043|5603393|523|2|2025-11-11|2025-11-11 18:15:01|
3577|5102332|521|1|2025-11-03|2025-11-06 10:54:01|
3471|5600863|160|1|2025-11-11|2025-11-14 16:10:03|
3577|5102461|521|1|2025-11-24|2025-11-27 14:01:04|
1925|5700302|160|2|2025-11-28|2025-11-28 11:39:01|
1925|5700370|160|1|2025-11-17|2025-11-21 18:48:06|
1925|5700230|160|1|2025-11-11|2025-11-13 09:40:03|
3897|5611429|240|1|2025-11-07|2025-11-07 15:30:12|
3471|5600787|160|1|2025-11-17|2025-11-20 10:54:04|
1925|5100828|160|1|2025-11-11|2025-11-12 16:35:04|
1925|5100855|160|2|2025-11-19|2025-11-19 11:25:05|
1925|5700239|160|2|2025-11-13|2025-11-13 11:28:01|
3471|5600769|160|1|2025-11-17|2025-11-19 16:47:04|
3043|5003411|523|1|2025-10-29|2025-11-04 16:55:01|
3577|5102463|521|2|2025-11-27|2025-11-27 12:08:01|
1925|5700228|160|1|2025-11-11|2025-11-13 09:35:05|
1925|5700369|160|2|2025-11-21|2025-11-21 18:50:03|
1925|5700314|160|2|2025-11-28|2025-11-28 11:33:03|
3043|5003654|523|1|2025-11-24|2025-11-28 16:50:02|
1925|5700288|160|2|2025-11-26|2025-11-26 17:53:03|
3471|5600864|160|2|2025-11-14|2025-11-14 16:48:03|
1925|5700276|160|1|2025-11-17|2025-11-19 09:52:01|
1925|5700199|160|2|2025-11-13|2025-11-13 10:23:01|
1905|5017408|160|2|2025-11-14|2025-11-14 18:36:06|
3043|5003651|523|1|2025-11-24|2025-11-28 16:50:03|
3471|5600948|160|1|2025-11-25|2025-11-27 18:38:02|
1925|5700331|160|1|2025-11-17|2025-11-21 12:15:02|
3471|5600793|160|2|2025-11-14|2025-11-14 15:49:02|
1925|5700240|160|2|2025-11-13|2025-11-13 11:24:02|
3471|5600780|160|2|2025-11-19|2025-11-19 19:29:03|
3471|5600903|160|1|2025-11-17|2025-11-21 23:57:01|
3471|5600734|160|2|2025-11-20|2025-11-20 21:45:00|
1925|5100859|160|1|2025-11-17|2025-11-19 11:28:06|
3043|5003622|523|2|2025-11-26|2025-11-26 14:38:02|
3471|5600945|160|1|2025-11-25|2025-11-27 18:24:02|
1925|5001386|160|1|2025-11-11|2025-11-13 13:04:02|
1647|5006994|240|5|2025-11-03|2025-11-14 17:36:10|
1925|5100857|160|1|2025-11-17|2025-11-19 11:27:02|
3897|5611725|240|2|2025-11-19|2025-11-19 10:50:18|
3577|5102428|521|1|2025-11-14|2025-11-19 12:27:01|
3471|5600788|160|1|2025-11-17|2025-11-20 10:54:04|
1925|5700304|160|1|2025-11-25|2025-11-28 11:04:02|
3153|5000830|800|1|2025-11-06|2025-11-06 14:52:00|
3577|5102434|521|2|2025-11-20|2025-11-20 14:38:01|
3043|5603321|523|2|2025-11-10|2025-11-10 18:13:01|
1925|5700202|160|1|2025-11-11|2025-11-13 10:26:04|
1637|5201476|521|1|2025-10-29|2025-11-06 23:20:01|
1925|5700366|160|2|2025-11-21|2025-11-21 18:25:03|
1925|5001426|160|2|2025-11-19|2025-11-19 12:00:02|
3897|5611854|240|1|2025-11-21|2025-11-21 11:50:17|
1925|5700233|160|1|2025-11-11|2025-11-13 10:43:02|
3471|5600746|160|2|2025-11-20|2025-11-20 21:45:01|
3471|5600944|160|2|2025-11-27|2025-11-27 19:08:01|
1925|5001394|160|2|2025-11-13|2025-11-13 11:32:07|
3471|5600948|160|2|2025-11-27|2025-11-27 18:38:02|
1925|5700367|160|2|2025-11-21|2025-11-21 18:30:05|
3043|5603482|520|5|2025-11-10|2025-11-20 18:42:00|
3577|5102430|521|1|2025-11-14|2025-11-20 13:35:01|
3043|5003412|523|1|2025-11-03|2025-11-26 17:04:02|
3577|5102427|521|1|2025-11-14|2025-11-20 11:33:02|
1925|5700358|160|2|2025-11-21|2025-11-21 11:53:01|
3577|5102392|521|2|2025-11-18|2025-11-18 13:44:01|
1925|5700278|160|2|2025-11-19|2025-11-19 09:58:02|
3471|5600973|160|1|2025-11-17|2025-11-25 09:41:01|
1925|5700292|160|2|2025-11-27|2025-11-27 10:15:01|
3897|5611341|240|1|2025-11-05|2025-11-05 11:01:07|
1925|5700216|160|2|2025-11-12|2025-11-12 18:20:01|
1925|5100832|160|2|2025-11-12|2025-11-12 16:40:01|
3471|5600859|160|1|2025-11-11|2025-11-14 17:16:03|
1905|5019086|160|2|2025-11-13|2025-11-13 17:17:02|
3471|5600764|160|1|2025-11-17|2025-11-19 19:00:03|
3577|5102464|521|2|2025-11-27|2025-11-27 12:08:02|
1925|5700271|160|2|2025-11-19|2025-11-19 09:42:02|
3577|5102430|521|2|2025-11-20|2025-11-20 13:35:01|
1925|5700340|160|2|2025-11-22|2025-11-22 10:52:02|
3577|5102343|521|1|2025-11-03|2025-11-04 15:46:01|
3577|5102403|521|2|2025-11-18|2025-11-18 13:44:01|
1925|5700316|160|2|2025-11-28|2025-11-28 11:26:01|
3471|5600793|160|1|2025-11-11|2025-11-14 15:49:02|
3577|5102409|521|1|2025-11-13|2025-11-18 15:59:02|
3471|5600740|160|1|2025-11-17|2025-11-20 18:28:04|
3043|5003554|523|2|2025-11-14|2025-11-14 15:08:03|
1925|5700209|160|2|2025-11-12|2025-11-12 17:57:01|
1925|5700368|160|1|2025-11-17|2025-11-21 18:47:04|
3577|5102464|521|1|2025-11-24|2025-11-27 12:08:02|
3043|5003533|523|1|2025-11-10|2025-11-14 09:51:01|
3577|5102319|521|2|2025-11-03|2025-11-03 11:59:01|
1925|5700200|160|2|2025-11-13|2025-11-13 10:25:05|
1925|5700241|160|2|2025-11-13|2025-11-13 11:22:02|
3043|5603394|520|2|2025-11-11|2025-11-11 18:08:02|
3471|5600950|160|1|2025-11-25|2025-11-27 18:19:02|
3471|5600781|160|2|2025-11-19|2025-11-19 19:29:03|
1890|5110449|750|2|2025-11-11|2025-11-11 10:21:00|
1925|5700283|160|1|2025-11-17|2025-11-19 10:05:03|
1925|5700332|160|1|2025-11-17|2025-11-21 12:20:01|
3043|5003532|523|1|2025-11-13|2025-11-26 14:38:01|
1925|5700333|160|2|2025-11-21|2025-11-21 12:20:02|
1925|5700214|160|2|2025-11-12|2025-11-12 18:15:01|
3577|5102343|521|2|2025-11-04|2025-11-04 15:46:01|
3043|5003653|523|1|2025-11-24|2025-11-28 16:50:03|
1925|5700339|160|2|2025-11-22|2025-11-22 10:51:00|
1925|5700349|160|2|2025-11-24|2025-11-24 13:18:01|
3471|5600865|160|1|2025-11-11|2025-11-14 16:48:02|
1925|5700286|160|1|2025-11-25|2025-11-26 17:34:04|
1925|5700307|160|1|2025-11-25|2025-11-28 11:14:02|
1925|5700218|160|1|2025-11-11|2025-11-13 10:05:03|
1925|5100857|160|2|2025-11-19|2025-11-19 11:27:02|
1925|5700224|160|2|2025-11-12|2025-11-12 18:26:02|
1925|5700364|160|1|2025-11-17|2025-11-21 13:25:03|
3577|5102337|521|1|2025-10-28|2025-11-05 11:14:03|
