Patente|Pedimento|SeccionAduanera|NumContenedor|TipoContenedor|FechaPagoReal
1647|5016705|240|RJ095|56|2025-11-22 11:13:03|
1647|5017166|240|RJ122|56|2025-11-27 16:22:03|
1647|5016705|240|S171|56|2025-11-22 11:13:03|
3043|5603319|523|SNLU997051|22|2025-11-11 18:09:01|
3043|5603319|523|SNLU138066|22|2025-11-11 18:09:01|
1647|5017166|240|PCG05|56|2025-11-27 16:22:03|
1647|5017166|240|H09899|56|2025-11-27 16:22:03|
3043|5603319|523|SNLU196444|22|2025-11-11 18:09:01|
1925|5700229|160|EGSU1232943|3|2025-11-13 09:40:02|
1925|5700351|160|EGHU8440816|3|2025-11-28 14:22:01|
3043|5603231|523|SNLU213004|22|2025-11-03 18:32:01|
1647|5006933|240|UTV700020|56|2025-11-10 10:37:06|
1925|5700288|160|EGSU9342757|3|2025-11-26 17:53:03|
3471|5600777|160|EGSU1342529|3|2025-11-21 12:26:02|
1925|5001387|160|EITU9092017|3|2025-11-13 11:32:02|
1647|5016705|240|H05885|56|2025-11-22 11:13:03|
1647|5006933|240|9022-2|56|2025-11-10 10:37:06|
1925|5700279|160|EGHU9767790|3|2025-11-19 09:58:02|
1925|5700289|160|EGSU9342757|3|2025-11-26 17:57:07|
1647|5016705|240|PTLZ250547|56|2025-11-22 11:13:03|
1647|5006933|240|HM71|56|2025-11-10 10:37:06|
1925|5700282|160|TXGU6695449|3|2025-11-19 10:04:01|
1647|5016705|240|PCG26|56|2025-11-22 11:13:03|
1647|5006933|240|RJ032|56|2025-11-10 10:37:06|
1647|5006933|240|S779|56|2025-11-10 10:37:06|
1647|5006933|240|UTV700033|56|2025-11-10 10:37:06|
3043|5003532|523|SNLU996726|22|2025-11-26 14:38:01|
3471|5600947|160|EGSU9734212|3|2025-11-28 20:17:01|
1925|5700317|160|TLLU5389226|3|2025-11-28 11:25:04|
1647|5006933|240|553371|56|2025-11-10 10:37:06|
1647|5006933|240|H14165|56|2025-11-10 10:37:06|
3471|5600973|160|EISU8286170|3|2025-11-25 09:41:01|
1925|5700349|160|TEMU6296111|3|2025-11-24 13:18:01|
3043|5603321|523|SNLU195714|22|2025-11-10 18:13:01|
1925|5700326|160|BSIU9969199|3|2025-11-20 12:24:02|
1925|5700332|160|EGHU9200234|3|2025-11-21 12:20:01|
3043|5603322|520|JBHU243967|22|2025-11-10 18:03:00|
1647|5016705|240|2345|56|2025-11-22 11:13:03|
3043|5603322|520|JBHU265989|22|2025-11-10 18:03:00|
1647|5017166|240|S277|56|2025-11-27 16:22:03|
