Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
1925|5700339|160|2025-10-17|COVE257TXP7W5|CIF|USD|97397.59|97397.59|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-22 10:51:00|
3471|5600787|160|2025-10-16|COVE257TD9Z47|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-20 10:54:04|
1925|5700357|160|2025-10-15|COVE257TZV9J2|CIF|USD|39158.50|39158.50|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-21 11:53:02|
3577|5102409|521|2025-11-11|COVE257U1P9G4|DAP|USD|944.61|944.61|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD||116|311100|HANGZHOU  YUHANG ECONOMIC DEVELOPMENT ZONE|2025-11-18 15:59:02|
1925|5001374|160|2025-09-29|COVE257S899J8|CIF|USD|107644.22|107644.22|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-01 11:06:01|
3577|5102363|521|2025-10-31|COVE257TJH4S6|DAP|USD|944.61|944.61|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD||116|311100|HANGZHOU  YUHANG ECONOMIC DEVELOPMENT ZONE|2025-11-07 15:33:01|
1925|5700237|160|2025-10-12|COVE257TD8HS8|CIF|USD|247.22|247.22|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-13 11:29:01|
1925|5001395|160|2025-10-08|COVE257SF0ZZ1|CIF|USD|443.92|443.92|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-13 11:32:04|
1925|5700228|160|2025-10-10|COVE257TEWC58|CIF|USD|41006.86|41006.86|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-13 09:35:05|
1925|5100881|160|2025-09-26|COVE257RQ16V1|CIF|USD|132.16|132.16|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-01 08:54:00|
