Patente|Pedimento|SeccionAduanera|NumeroGuia|TipoGuia|FechaPagoReal
1925|5700330|160|EGLV143581029977|M|2025-11-21 12:14:01|
3471|5600778|160|EGLV143574065793|M|2025-11-21 18:31:03|
3577|5102408|521|3830163341|H|2025-11-19 12:24:01|
3043|5003532|523|000005986597|M|2025-11-26 14:38:01|
3577|5102427|521|489-62159101|M|2025-11-20 11:33:02|
1925|5100831|160|EGLV143574065751|M|2025-11-12 16:35:03|
1925|5100861|160|EGLV143574065734|M|2025-11-19 11:34:02|
1925|5700212|160|EGLV143574065823|M|2025-11-12 18:08:01|
1925|5700200|160|EGLV143559587122|M|2025-11-13 10:25:05|
1925|5700228|160|EGLV143574065823|M|2025-11-13 09:35:05|
3043|5003554|523|000005998491|M|2025-11-14 15:08:03|
1925|5700270|160|EGLV143574065777|M|2025-11-19 09:41:03|
3043|5603481|520|029888728775|M|2025-11-20 18:47:01|
1925|5001427|160|EGLV143574065785|M|2025-11-19 12:00:05|
3471|5000891|160|EGLV143581027923|M|2025-11-21 23:58:01|
3471|5600943|160|EGLV143581027877|M|2025-11-27 18:24:03|
1925|5700351|160|EGLV143581027851|M|2025-11-28 14:22:01|
1925|5001374|160|EGLV143559586834|M|2025-11-01 11:06:01|
1925|5700303|160|EGLV143581027869|M|2025-11-28 10:59:01|
3471|5600786|160|EGLV143574065807|M|2025-11-19 19:35:01|
3043|5603322|520|029623201606|M|2025-11-10 18:03:00|
1925|5700338|160|EGLV143581029977|M|2025-11-22 10:50:02|
3043|5603319|523|000005982323|M|2025-11-11 18:09:01|
1925|5700282|160|EGLV143574065777|M|2025-11-19 10:04:01|
1925|5001389|160|EGLV143574065742|M|2025-11-13 11:32:02|
3577|5102391|521|9697928225|H|2025-11-13 19:28:01|
1925|5700357|160|EGLV143581029969|M|2025-11-21 11:53:02|
3043|5003533|523|000005986597|M|2025-11-14 09:51:01|
3043|5603392|523|000005993073|M|2025-11-18 18:43:01|
3577|5102454|521|1262779350|H|2025-11-27 14:00:01|
3577|5102463|521|9509879816|H|2025-11-27 12:08:01|
1925|5700340|160|EGLV143581029977|M|2025-11-22 10:52:02|
3471|5600735|160|025F795072|M|2025-11-20 16:20:03|
3471|5600951|160|EGLV143581027877|M|2025-11-27 17:47:14|
1925|5100858|160|EGLV143574065734|M|2025-11-19 11:48:01|
3471|5600776|160|EGLV143574065793|M|2025-11-21 18:08:02|
3043|5603319|523|000005987941|M|2025-11-11 18:09:01|
3043|5603320|523|000005989907|M|2025-11-10 18:13:01|
3043|5003412|523|000005977667|M|2025-11-26 17:04:02|
3897|5611730|240|000006018768|M|2025-11-19 10:50:23|
1925|5700233|160|EGLV143559587122|M|2025-11-13 10:43:02|
1925|5700206|160|EGLV143559587122|M|2025-11-13 10:47:04|
1925|5700231|160|EGLV143574065823|M|2025-11-13 09:49:02|
3471|5600892|160|EGLV143581027923|M|2025-11-21 23:57:02|
1925|5100832|160|EGLV143574065751|M|2025-11-12 16:40:01|
1925|5700319|160|EGLV143581027869|M|2025-11-28 11:23:03|
1925|5700283|160|EGLV143574065777|M|2025-11-19 10:05:03|
1925|5700297|160|EGLV143581027851|M|2025-11-27 13:25:01|
1925|5100859|160|EGLV143574065734|M|2025-11-19 11:28:06|
3577|5102409|521|7772704995|H|2025-11-18 15:59:02|
3577|5102382|521|489-62158681|M|2025-11-19 14:44:02|
3043|5603321|523|000005989909|M|2025-11-10 18:13:01|
3043|5603321|523|000005982325|M|2025-11-10 18:13:01|
3043|5603321|523|000005982323|M|2025-11-10 18:13:01|
3577|5102433|521|489-62159392|M|2025-11-20 12:23:02|
1925|5700226|160|EGLV143574065823|M|2025-11-12 18:32:01|
1925|5700305|160|EGLV143581027869|M|2025-11-28 11:04:02|
3471|5600952|160|EGLV143581027877|M|2025-11-27 17:41:05|
3471|5600736|160|025F795072|M|2025-11-20 16:19:03|
3577|5102403|521|1820697760|H|2025-11-18 13:44:01|
3471|5600942|160|EGLV143581027877|M|2025-11-27 18:24:03|
3471|5600767|160|EGLV143581027559|M|2025-11-21 15:26:02|
3043|5603231|523|000005966581|M|2025-11-03 18:32:01|
3043|5603319|523|000005983001|M|2025-11-11 18:09:01|
1925|5700364|160|EGLV143581029969|M|2025-11-21 13:25:03|
3043|5603231|523|000005965438|M|2025-11-03 18:32:01|
3897|5611617|240|000006013035|M|2025-11-13 13:20:05|
3577|5102368|521|489-62158250|M|2025-11-13 19:27:00|
1925|5700335|160|EGLV143581029977|M|2025-11-21 12:21:01|
1925|5001386|160|EGLV143574065742|M|2025-11-13 13:04:02|
1925|5700333|160|EGLV143581029977|M|2025-11-21 12:20:02|
3577|5102408|521|489-62158961|M|2025-11-19 12:24:01|
3043|5603231|523|000005978120|M|2025-11-03 18:32:01|
3043|5603322|520|029627476474|M|2025-11-10 18:03:00|
3471|5600798|160|NGB500797700|M|2025-11-14 16:30:06|
3471|5600789|160|EGLV143574065807|M|2025-11-19 18:29:04|
1925|5700358|160|EGLV143581029969|M|2025-11-21 11:53:01|
3471|5600766|160|EGLV143581027559|M|2025-11-19 18:35:03|
3043|5603323|520|029623201606|M|2025-11-10 18:13:00|
3043|5603322|520|029624596954|M|2025-11-10 18:03:00|
3471|5600781|160|EGLV143574065793|M|2025-11-19 19:29:03|
3043|5603481|520|029890872388|M|2025-11-20 18:47:01|
3043|5603323|520|029617581143|M|2025-11-10 18:13:00|
1925|5700235|160|EGLV143559587122|M|2025-11-13 10:48:03|
3471|5600765|160|EGLV143581027559|M|2025-11-19 19:00:02|
3043|5603319|523|000005987184|M|2025-11-11 18:09:01|
1925|5700326|160|EGLV143581029977|M|2025-11-20 12:24:02|
1925|5700369|160|EGLV143581029969|M|2025-11-21 18:50:03|
1925|5700370|160|EGLV143581029969|M|2025-11-21 18:48:06|
3471|5600902|160|EGLV143581027923|M|2025-11-21 23:57:01|
1925|5001387|160|EGLV143574065742|M|2025-11-13 11:32:02|
1925|5700315|160|EGLV143581027869|M|2025-11-28 11:31:02|
1925|5700332|160|EGLV143581029977|M|2025-11-21 12:20:01|
1925|5700205|160|EGLV143559587122|M|2025-11-13 10:42:02|
1925|5700314|160|EGLV143581027869|M|2025-11-28 11:33:03|
3043|5603320|523|000005982322|M|2025-11-10 18:13:01|
3471|5600949|160|EGLV143581027877|M|2025-11-27 18:39:02|
3577|5102319|521|489-62157266|M|2025-11-03 11:59:01|
3043|5603321|523|000005989907|M|2025-11-10 18:13:01|
3577|5102426|521|023-40087036|M|2025-11-19 13:30:01|
3043|5603319|523|000005982322|M|2025-11-11 18:09:01|
1925|5700215|160|EGLV143574065823|M|2025-11-12 18:20:01|
1925|5700279|160|EGLV143574065777|M|2025-11-19 09:58:02|
1925|5700242|160|EGLV143559587122|M|2025-11-13 11:23:02|
3043|5603319|523|000005989909|M|2025-11-11 18:09:01|
3043|5603323|520|029621807336|M|2025-11-10 18:13:00|
3043|5603321|523|000005987183|M|2025-11-10 18:13:01|
1925|5700225|160|EGLV143574065823|M|2025-11-12 18:30:04|
1925|5700365|160|EGLV143581029969|M|2025-11-21 13:40:02|
1925|5001423|160|EGLV143574065785|M|2025-11-19 12:01:02|
3043|5603320|523|000005989906|M|2025-11-10 18:13:01|
3043|5603320|523|000005990917|M|2025-11-10 18:13:01|
3577|5102403|521|489-62158821|M|2025-11-18 13:44:01|
1925|5100829|160|EGLV143574065751|M|2025-11-12 16:35:03|
1925|5700347|160|EGLV143581029977|M|2025-11-24 13:15:00|
3471|5600739|160|025F795072|M|2025-11-20 18:29:03|
3577|5102446|521|4W260E9SX4T|H|2025-11-24 15:27:03|
3043|5003654|523|000006020599|M|2025-11-28 16:50:02|
3577|5102401|521|7772694565|H|2025-11-18 13:32:00|
3043|5603319|523|000005989907|M|2025-11-11 18:09:01|
3577|5102456|521|9509873656|H|2025-11-27 13:51:00|
1925|5700308|160|EGLV143581027869|M|2025-11-28 11:14:03|
3897|5611766|240|000006020599|M|2025-11-19 12:10:21|
3043|5603320|523|000005983001|M|2025-11-10 18:13:01|
1925|5700272|160|EGLV143574065777|M|2025-11-19 09:43:01|
3471|5600947|160|EGLV143581027877|M|2025-11-28 20:17:01|
1925|5700328|160|EGLV143581029977|M|2025-11-20 12:26:03|
1925|5700339|160|EGLV143581029977|M|2025-11-22 10:51:00|
3043|5603482|520|029888728775|M|2025-11-20 18:42:00|
3043|5603392|523|000005989910|M|2025-11-18 18:43:01|
3471|5600893|160|EGLV143581027923|M|2025-11-21 23:57:02|
3471|5600740|160|025F795072|M|2025-11-20 18:28:04|
1925|5100827|160|EGLV143574065751|M|2025-11-12 16:35:05|
3043|5603323|520|029623095596|M|2025-11-10 18:13:00|
1925|5700356|160|EGLV143581029969|M|2025-11-21 11:51:02|
3577|5102378|521|1690832220|H|2025-11-12 14:56:01|
3471|5600864|160|EGLV143559587024|M|2025-11-14 16:48:03|
3471|5600871|160|EGLV143574067282|M|2025-11-27 18:38:03|
3577|5102374|521|489-62158434|M|2025-11-12 14:55:01|
3043|5603321|523|000005987184|M|2025-11-10 18:13:01|
1925|5700355|160|EGLV143581029969|M|2025-11-20 11:41:02|
1925|5700294|160|EGLV143581027851|M|2025-11-26 18:00:10|
1925|5100824|160|EGLV143574065751|M|2025-11-12 16:35:04|
3577|5102332|521|489-62157664|M|2025-11-06 10:54:01|
1925|5001392|160|EGLV143574065742|M|2025-11-13 13:04:03|
3043|5603323|520|029625642994|M|2025-11-10 18:13:00|
3043|5603393|523|000005993335|M|2025-11-11 18:15:01|
3043|5603319|523|000005987942|M|2025-11-11 18:09:01|
3043|5603321|523|000005987942|M|2025-11-10 18:13:01|
3577|5102369|521|489-62158250|M|2025-11-12 13:58:01|
3043|5603322|520|029619454816|M|2025-11-10 18:03:00|
1925|5700238|160|EGLV143559587122|M|2025-11-13 14:41:01|
3577|5102446|521|406-05801703|M|2025-11-24 15:27:03|
3577|5102455|521|9601715653|H|2025-11-26 14:06:01|
1925|5700286|160|EGLV143581027851|M|2025-11-26 17:34:04|
3043|5603319|523|000005990916|M|2025-11-11 18:09:01|
3471|5600867|160|EGLV143559587024|M|2025-11-14 16:09:02|
3043|5603391|523|000005989910|M|2025-11-11 18:12:02|
3043|5603320|523|000005987768|M|2025-11-10 18:13:01|
1925|5700234|160|EGLV143559587122|M|2025-11-13 10:44:02|
3577|5102428|521|2550352011|H|2025-11-19 12:27:01|
3471|5600790|160|EGLV143574065807|M|2025-11-19 18:29:02|
3471|5600764|160|EGLV143581027559|M|2025-11-19 19:00:03|
3577|5102428|521|489-62159101|M|2025-11-19 12:27:01|
1925|5700354|160|EGLV143581029969|M|2025-11-20 11:40:02|
