Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SecuenciaObservacion|Observaciones|FechaPagoReal
1647|5006933|240|87032199|1|41|380Y-3 SH190024|2025-11-10 10:37:06|
3471|5600768|160|87082999|47|1|25CFTT405370-5|2025-11-19 16:47:03|
3471|5600946|160|83023091|31|1|25CFTT405952-5|2025-11-28 20:35:00|
3471|5600947|160|76090002|6|3|5HYV-185070-6000|2025-11-28 20:17:01|
3471|5600798|160|84879006|118|2|No.Parte|2025-11-14 16:30:06|
1647|5006933|240|87032199|1|62|380Y-3 SG110100|2025-11-10 10:37:06|
3471|5600858|160|87089203|67|2|No.Parte|2025-11-14 17:16:03|
3471|5600794|160|85371099|36|3|5SYV-169480-8300|2025-11-14 15:50:01|
1647|5006933|240|87032199|1|39|380Y-3 SG180160|2025-11-10 10:37:06|
3471|5600866|160|87082999|78|3|5HYV-234010-6000-H1M|2025-11-14 16:09:02|
3471|5600946|160|40091102|14|3|703V-200102-1400|2025-11-28 20:35:00|
3471|5600946|160|40093205|16|3|5HYV-120210A|2025-11-28 20:35:00|
3471|5600768|160|87082999|35|1|25CFTT405370-4|2025-11-19 16:47:03|
1647|5006933|240|87032199|2|20|380Y-3 SG020275|2025-11-10 10:37:06|
