Patente|Pedimento|SeccionAduanera|RfcTransportista|CurpTransportista|NombreTransportista|PaisTransporte|IdentificadorTransporte|FechaPagoReal
3471|5600893|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-21 23:57:02|
1925|5001394|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-13 11:32:07|
3471|5600766|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-19 18:35:03|
3043|5003622|523|||KANSAS CITY SOUTHERN DE MEXICO|MEX|SNLU195714|2025-11-26 14:38:02|
1925|5700232|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-13 09:50:05|
1925|5700363|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-21 13:21:03|
1925|5700312|160|||EVER FRONT|PAN|EVERFRONT|2025-11-28 11:37:01|
1925|5001388|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-13 13:04:02|
1925|5700347|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-24 13:15:00|
1925|5700304|160|||EVER FRONT|PAN|EVERFRONT|2025-11-28 11:04:02|
1925|5700234|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-13 10:44:02|
1925|5100827|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-12 16:35:05|
1925|5100828|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-12 16:35:04|
1925|5700355|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-20 11:41:02|
1925|5700227|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-13 09:35:04|
3043|5603319|523|||KANSAS CITY SOUTHERN|USA|1|2025-11-11 18:09:01|
1925|5700316|160|||EVER FRONT|PAN|EVERFRONT|2025-11-28 11:26:01|
3897|5611725|240|KCS970506DQ3||KANSAS CITY SOUTHERN DE MEXICO S.A. DE C.V.|MEX|SNLU200163|2025-11-19 10:50:18|
1925|5700314|160|||EVER FRONT|PAN|EVERFRONT|2025-11-28 11:33:03|
1925|5100831|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-12 16:35:03|
1925|5700326|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-20 12:24:02|
3471|5600735|160|||WAN HAI LINES MEXICO, S.A. DE C.V.|SGP|WANHAIA02|2025-11-20 16:20:03|
3471|5600797|160|||PACIFIC INTERNATIONAL LINES (PRIVATE) LIMITED|GBR|EVERLISSOME|2025-11-14 17:05:02|
1925|5001427|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-19 12:00:05|
1925|5700277|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-19 09:58:01|
