Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClavePermiso|FirmaDescargo|NumeroPermiso|ValorComercialDolares|CantidadMUMTarifa|FechaPagoReal
3471|6400240|160|98020019|2|C1||1931R826001009|302.40|360.00000|2026-01-26 09:17:02|
3178|6000561|160|98020019|271|C1||1931R825050424|2.88|288.00000|2026-01-22 17:22:04|
3471|6400249|160|98020019|242|C1||1931R825050385|1.60|160.00000|2026-01-28 14:24:02|
3178|6000954|160|98020019|263|C1||1931R825051346|1.60|160.00000|2026-01-24 13:42:01|
3178|6000239|160|98020019|97|C1||1931R825050575|174.00|600.00000|2026-01-17 12:44:03|
1614|6000082|160|98020019|194|C1||1931R825050575|14.40|480.00000|2026-01-20 11:18:02|
1614|6000088|160|98020019|136|C1||1931R825050575|11.52|288.00000|2026-01-19 17:37:05|
1925|6100107|160|98020019|96|C1||1931R826001314|20.40|408.00000|2026-01-22 19:00:05|
3178|6000561|160|98020019|166|C1||1931R825050493|349.92|72.00000|2026-01-22 17:22:04|
3471|6400146|160|98020019|173|C1||1931R825050385|9.60|960.00000|2026-01-03 00:54:01|
3471|6400083|160|98020019|74|C1||1931R825050575|5.76|192.00000|2026-01-08 17:14:05|
3471|6400100|160|98020019|178|C1||1931R825050575|2.00|200.00000|2026-01-15 09:26:01|
1925|6100022|160|98020019|160|C1||1931R826001314|29.92|136.00000|2026-01-22 16:58:03|
1925|6100107|160|98020019|29|C1||1931R825051346|1.36|136.00000|2026-01-22 19:00:05|
3471|6400083|160|98020019|96|C1||1931R825050547|4.80|96.00000|2026-01-08 17:14:05|
1925|6100026|160|98020019|193|C1||1931R826001628|33.32|68.00000|2026-01-22 11:33:02|
3471|6400207|160|98020019|6|C1||1931R826001518|2010.00|120.00000|2026-01-17 11:39:02|
3178|6000154|160|98020019|75|C1||1931R825034288|256.00|6400.00000|2026-01-09 12:32:04|
3471|6400102|160|98020019|142|C1||1931R825050423|13516.00|200.00000|2026-01-14 11:08:04|
3471|6400029|160|98020019|176|C1||1931R825050575|136.80|4560.00000|2026-01-02 16:54:02|
3471|6400029|160|98020019|267|C1||1931R825051346|61.20|120.00000|2026-01-02 16:54:02|
1925|6100040|160|98020019|157|C1||1931R825051346|3.20|160.00000|2026-01-24 12:58:04|
3178|6000239|160|98020019|141|C1||1931R825051346|36.00|100.00000|2026-01-17 12:44:03|
1925|6100038|160|98020019|152|C1||1931R825050534|16.00|320.00000|2026-01-24 13:04:01|
3178|6000154|160|98020019|111|C1||1931R825051346|11.52|144.00000|2026-01-09 12:32:04|
3471|6400002|160|98020019|148|C1||1931R825050423|4663.02|69.00000|2026-01-08 15:17:03|
1614|6000082|160|98020019|248|C1||1931R825050547|61.20|2040.00000|2026-01-20 11:18:02|
1925|6000119|160|98020019|90|C1||1931R825050575|16.20|60.00000|2026-01-29 11:46:00|
3471|6400029|160|98020019|265|C1||1931R825051346|1.20|120.00000|2026-01-02 16:54:02|
1614|6000086|160|98020019|102|C1||1931R825050423|3108.68|46.00000|2026-01-20 11:18:04|
1925|6000109|160|98020019|116|C1||1931R825038867|6148.80|240.00000|2026-01-29 11:24:04|
1614|6000090|160|98020019|259|C1||1931R825050547|331.20|1440.00000|2026-01-19 17:38:06|
3471|6400002|160|98020019|149|C1||1931R825050547|460.00|2000.00000|2026-01-08 15:17:03|
1925|6100034|160|98020019|26|C1||1931R825050575|12.80|320.00000|2026-01-24 12:24:04|
1614|6000090|160|98020019|243|C1||1931R825050550|25.92|72.00000|2026-01-19 17:38:06|
1925|6100040|160|98020019|80|C1||1931R825050575|24.00|480.00000|2026-01-24 12:58:04|
3471|6400215|160|98020019|5|C1||1931R826000899|204.00|120.00000|2026-01-20 12:39:02|
3471|6400249|160|98020019|233|C1||1931R825050547|14.40|480.00000|2026-01-28 14:24:02|
3178|6000954|160|98020019|191|C1||1931R825050575|86.40|320.00000|2026-01-24 13:42:01|
1925|6000049|160|98020019|219|C1||1931R825038867|6148.80|240.00000|2026-01-22 14:05:05|
3178|6000154|160|98020019|147|C1||1931R825050530|60.48|288.00000|2026-01-09 12:32:04|
3471|6400087|160|98020019|107|C1||1931R825050550|107.52|384.00000|2026-01-08 15:45:02|
3178|6000148|160|98020019|11|C1||1931R825050575|11.52|288.00000|2026-01-08 17:08:02|
3471|6400100|160|98020019|176|C1||1931R825050575|2.00|200.00000|2026-01-15 09:26:01|
1925|6100022|160|98020019|56|C1||1931R825050385|1.36|136.00000|2026-01-22 16:58:03|
3471|6400019|160|98020019|159|C1||1931R825050547|8.16|272.00000|2026-01-02 19:08:02|
1925|6000119|160|98020019|86|C1||1931R825050575|78.40|280.00000|2026-01-29 11:46:00|
3178|6000535|160|98020019|19|C1||1931R825050575|180.00|6000.00000|2026-01-19 13:00:04|
3178|6000230|160|98020019|12|C1||1931R825050575|12.00|600.00000|2026-01-16 08:31:01|
3471|6400240|160|98020019|140|C1||1931R825050547|21.60|720.00000|2026-01-26 09:17:02|
1925|6000049|160|98020019|51|C1||1931R825050385|2.40|240.00000|2026-01-22 14:05:05|
3178|6000954|160|98020019|27|C1||1931R826001628|1.00|5.00000|2026-01-24 13:42:01|
3471|6400059|160|98020019|122|C1||1931R825034288|2.00|200.00000|2026-01-08 15:17:02|
1614|6000072|160|98020019|148|C1||1931R825050385|2.64|264.00000|2026-01-07 20:04:00|
1925|6100040|160|98020019|131|C1||1931R825050385|70.40|640.00000|2026-01-24 12:58:04|
1925|6100028|160|98020019|20|C1||1931R825050550|32.64|136.00000|2026-01-22 17:03:05|
3178|6000148|160|98020019|17|C1||1931R825050575|233.28|11664.00000|2026-01-08 17:08:02|
3471|6400002|160|98020019|132|C1||1931R825050385|8.00|800.00000|2026-01-08 15:17:03|
1614|6001100|160|98020019|59|C1|STVX3YA3|1931R825050385|2.40|240.00000|2026-01-28 16:48:06|
3471|6400100|160|98020019|169|C1||1931R825050575|60.00|400.00000|2026-01-15 09:26:01|
1925|6000051|160|98020019|53|C1||1931R825050547|57.60|720.00000|2026-01-22 14:05:05|
3178|6000561|160|98020019|162|C1||1931R825050547|103.68|288.00000|2026-01-22 17:22:04|
1925|6000109|160|98020019|36|C1||1931R825050575|10.80|360.00000|2026-01-29 11:24:04|
3471|6400240|160|98020019|104|C1||1931R826001628|165.60|120.00000|2026-01-26 09:17:02|
3471|6400236|160|98020019|144|C1||1931R825050575|184.80|9240.00000|2026-01-22 15:02:01|
3178|6000561|160|98020019|122|C1||1931R825050575|2.88|288.00000|2026-01-22 17:22:04|
