Patente|Pedimento|SeccionAduanera|ClaveCaso|IdentificadorCaso|TipoPedimento|ComplementoCaso|FechaValidacionPagoR
3471|6400052|160|ED|0436260N93TN3|1||2026-01-08 10:23:02|
3471|6400249|160|ED|0436260NEVNI7|1||2026-01-28 14:24:02|
3471|6400218|160|ED|0438261CE3NM6|1||2026-01-19 18:01:02|
1925|6000119|160|CR|40|1||2026-01-29 11:46:00|
3471|6400253|160|ED|0436260NENWV6|1||2026-01-22 17:27:05|
1925|6000111|160|ED|01702618Q0484|1||2026-01-29 11:24:04|
3178|6000535|160|ED|0436260ND9GD1|1||2026-01-19 13:00:04|
1647|6004513|240|ED|0428260GTH903|1||2026-01-16 17:32:07|
1647|6004627|240|ED|0428260GX3ZG5|1||2026-01-30 19:58:02|
3178|6000148|160|PP|20239540|1||2026-01-08 17:08:02|
1925|6000119|160|ED|0436250MX2DT5|1||2026-01-29 11:46:00|
3178|6000237|160|ED|0436260ND44A6|1||2026-01-16 20:15:01|
1925|6000117|160|PP|20239540|1||2026-01-29 11:23:03|
3577|6300069|521|CR|158|1||2026-01-15 13:55:01|
3471|6400101|160|ED|017026185U176|1||2026-01-15 09:13:03|
1925|6000032|160|ED|0438261CHQBK4|1||2026-01-22 13:59:01|
3471|6400238|160|ED|0436260NEJ3W6|1||2026-01-22 09:57:03|
3471|6400162|160|ED|0438261CMAFI5|1||2026-01-28 14:30:03|
3178|6000561|160|ED|0436260NF0LE8|1||2026-01-22 17:22:04|
3043|6600188|520|ED|01702618K9QQ4|1||2026-01-31 13:50:02|
3471|6400199|160|PD|2|1|1|2026-01-28 23:26:00|
1925|6000111|160|ED|01922616XBGL2|1||2026-01-29 11:24:04|
3178|6000535|160|ED|0436260ND9HG1|1||2026-01-19 13:00:04|
3178|6000535|160|IM|482023|1||2026-01-19 13:00:04|
3471|6400365|160|ED|01702618LLLO4|1||2026-01-28 13:12:01|
3471|6400048|160|ED|0436260N9CSL7|1||2026-01-07 14:59:03|
3471|6400448|160|CR|40|2||2026-01-31 10:44:02|
3471|6400242|160|ED|0436260NEHMO6|1||2026-01-22 15:02:02|
1925|6000111|160|ED|0436260NC4384|1||2026-01-29 11:24:04|
3471|6400158|160|ED|0438261C75VG5|1||2026-01-08 17:22:06|
3178|6000314|160|ED|0438261CD0ZR4|1||2026-01-15 18:27:04|
3178|6000146|160|ED|0436260NA1SY4|1||2026-01-08 16:23:04|
3471|6400238|160|IM|482023|1||2026-01-22 09:57:03|
3471|6400249|160|ED|0436260NEVHQ1|1||2026-01-28 14:24:02|
3471|6400086|160|ED|017026188HT65|1||2026-01-08 17:14:04|
1647|6004627|240|RC|1-76|1||2026-01-30 19:58:02|
1614|6000092|160|ED|0436260NB8M26|1||2026-01-19 17:38:06|
1925|6000111|160|ED|0436250MX2DJ3|1||2026-01-29 11:24:04|
3178|6000871|160|ED|0438261CI68V4|1||2026-01-22 14:02:03|
1614|6000077|160|ED|01702618G6R58|1||2026-01-20 11:17:03|
1647|6004627|240|ED|0428260GWKM63|1||2026-01-30 19:58:02|
3577|6300091|521|ED|0438261CDLOW6|1||2026-01-19 18:47:01|
1925|6000119|160|ED|0436260NC4248|1||2026-01-29 11:46:00|
1614|6000093|160|CR|40|1||2026-01-19 17:38:05|
3471|6400324|160|ED|01702618PGG53|1||2026-01-30 10:05:05|
1647|6004560|240|ED|0428260GVLIM3|1||2026-01-23 16:17:10|
3178|6000953|160|PP|20239540|1||2026-01-24 13:42:01|
3178|6000953|160|ED|01702618ML7P5|1||2026-01-24 13:42:01|
3471|6400148|160|ED|0436250N88JK1|1||2026-01-02 17:08:05|
1925|6000111|160|ED|0436250MVK814|1||2026-01-29 11:24:04|
3471|6400242|160|ED|01702618E1FP8|1||2026-01-22 15:02:02|
1925|6000119|160|ED|0436250MVK8Z5|1||2026-01-29 11:46:00|
1614|6000092|160|ED|01702618C9A83|1||2026-01-19 17:38:06|
1925|6000111|160|IM|482023|1||2026-01-29 11:24:04|
3577|6300024|521|CR|158|1||2026-01-05 19:02:01|
3471|6400251|160|ED|0436260NEX0Y5|1||2026-01-28 14:24:03|
3471|6400199|160|CR|40|1||2026-01-28 23:26:00|
3471|6400156|160|CR|40|1||2026-01-08 17:21:04|
1925|6000119|160|ED|0436260NC40Z6|1||2026-01-29 11:46:00|
3471|6400030|160|CR|40|1||2026-01-02 16:54:01|
1647|6004627|240|ED|0428260GWNQY2|1||2026-01-30 19:58:02|
3471|6400148|160|ED|0438251C1V7C6|1||2026-01-02 17:08:05|
1647|6004513|240|ED|0428260GTMBX4|1||2026-01-16 17:32:07|
3178|6000146|160|ED|017026189C8C7|1||2026-01-08 16:23:04|
3471|6400219|160|IM|482023|1||2026-01-20 12:40:05|
3043|6600188|520|ED|01702618LBC44|1||2026-01-31 13:50:02|
3471|6400004|160|ED|0438261C6R2O2|1||2026-01-08 11:02:04|
1925|6000119|160|ED|0436250MVK7J5|1||2026-01-29 11:46:00|
3471|6400156|160|PP|20239540|1||2026-01-08 17:21:04|
1647|6004627|240|ED|0428260GW0OL8|1||2026-01-30 19:58:02|
3178|6000841|160|IM|482023|1||2026-01-22 13:43:05|
1647|6004627|240|ED|0428260GWXEF6|1||2026-01-30 19:58:02|
1647|6004627|240|ED|0428260GWKR93|1||2026-01-30 19:58:02|
3471|6400164|160|CR|291|1||2026-01-05 12:38:08|
1925|6000119|160|ED|0438261CN2RJ7|1||2026-01-29 11:46:00|
3471|6400174|160|ED|0436260NC7VO3|1||2026-01-16 10:44:03|
3471|6400380|160|ED|01702618PV9N1|1||2026-01-30 09:49:04|
1647|6004560|240|ED|0428260GUECS4|1||2026-01-23 16:17:10|
3178|6000146|160|ED|0436260NA1WX8|1||2026-01-08 16:23:04|
3471|6400014|160|ED|0436260NA3LR4|1||2026-01-09 18:05:09|
3471|6400028|160|ED|0438251C2DCX3|1||2026-01-02 13:48:01|
1647|6004627|240|ED|0428260GW6CE1|1||2026-01-30 19:58:02|
3471|6400242|160|ED|0436260NEHQW2|1||2026-01-22 15:02:02|
3043|6600189|520|IM|482023|1||2026-01-31 13:51:01|
1614|6000077|160|SO|AA|1||2026-01-20 11:17:03|
1647|6004627|240|ED|0428260GWAL61|1||2026-01-30 19:58:02|
3471|6400059|160|ED|0436260N9UB74|1||2026-01-08 15:17:02|
3471|6400184|160|ED|017026187HL83|1||2026-01-07 15:07:03|
