Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveCaso|IdentificadorCaso|ComplementoCaso|FechaPagoReal
3577|6300125|521|73241001|2|EC|1||2026-01-27 11:03:00|
1925|6100040|160|98020019|49|EC|1||2026-01-24 12:58:04|
3178|6000230|160|39269099|192|EN|X|NOM-050-SCFI-2004|2026-01-16 08:31:01|
3471|6400218|160|63079099|1|XP|T3|U|2026-01-19 18:01:02|
3471|6400100|160|39269099|17|XP|A1|U|2026-01-15 09:26:01|
1925|6100034|160|98020019|33|EC|1||2026-01-24 12:24:04|
3471|6400240|160|98020019|107|EC|1||2026-01-26 09:17:02|
3178|6000539|160|87088099|41|PS|XIX||2026-01-16 17:25:05|
1614|6000086|160|87089999|11|EN|X|NOM-050-SCFI-2004|2026-01-20 11:18:04|
3471|6400094|160|39269099|7|XP|S3|U|2026-01-15 08:44:02|
1925|6100040|160|98020019|5|EC|1||2026-01-24 12:58:04|
3471|6400247|160|98020019|54|EC|1||2026-01-26 11:44:04|
3178|6000972|160|87082999|66|PS|XIX||2026-01-24 12:02:13|
3178|6000847|160|87082999|68|PS|XIX||2026-01-24 12:17:03|
1925|6100032|160|87082999|5|PS|XIX||2026-01-24 12:13:01|
1925|6100040|160|98020019|230|EC|1||2026-01-24 12:58:04|
1925|6100041|160|73181599|9|EN|ENOM|NOM-050-SCFI-2004|2026-01-24 12:36:03|
1925|6100032|160|39263002|40|EN|U|NOM-050-SCFI-2004|2026-01-24 12:13:01|
3471|6400100|160|98020019|205|EC|1||2026-01-15 09:26:01|
3471|6400185|160|87089999|102|EN|X|NOM-050-SCFI-2004|2026-01-20 18:24:04|
3471|6400100|160|98020019|153|EC|1||2026-01-15 09:26:01|
3471|6400240|160|87082999|63|PS|XIX||2026-01-26 09:17:02|
3471|6400240|160|98020019|130|EC|1||2026-01-26 09:17:02|
3471|6400100|160|87082999|82|PS|XIX||2026-01-15 09:26:01|
1614|6000090|160|39269099|78|EN|X|NOM-050-SCFI-2004|2026-01-19 17:38:06|
3471|6400100|160|87089999|148|EN|X|NOM-050-SCFI-2004|2026-01-15 09:26:01|
